STRG.109515.1.p1	XM_040695128.2	STRG.109515
STRG.34611.1.p1	XM_031609465.1	STRG.34611
STRG.89446.2.p1	XM_010727377.1	STRG.89446
STRG.86123.1.p1	XM_051613262.1	STRG.86123
STRG.16834.1.p2	XM_021409714.1	STRG.16834
STRG.19285.9.p1	XM_048930376.1	STRG.19285
STRG.8297.1.p1	KAK4813670.1	STRG.8297
STRG.25405.1.p1	XM_048930345.1	STRG.25405
STRG.29029.17.p1	KAK4830804.1	STRG.29029
STRG.6377.22.p3	WP_143413434.1	STRG.6377
STRG.110968.1.p1	SGA34061.1	STRG.110968
STRG.70322.5.p1	XM_048967322.1	STRG.70322
STRG.7906.1.p1	XM_040659592.1	STRG.7906
STRG.64853.1.p1	XM_042877271.1	STRG.64853
STRG.87523.1.p1	KAK4831405.1	STRG.87523
STRG.84719.1.p2	EPP37534.1	STRG.84719
STRG.40090.1.p1	XM_052665711.1	STRG.40090
STRG.8926.15.p5	XM_032442299.1	STRG.8926
STRG.23038.28.p1	2-XM_040659592.1	STRG.23038
STRG.14717.1.p1	KAK4811345.1	STRG.14717
STRG.109419.1.p1	SGA02415.1	STRG.109419
STRG.75445.1.p1	POI28166.1	STRG.75445
STRG.107254.1.p2	SGA33918.1	STRG.107254
STRG.54872.1.p1	XM_048953353.1	STRG.54872
STRG.87154.15.p1	SFW04806.1	STRG.87154
STRG.59841.1.p1	XM_040682479.1	STRG.59841
STRG.107178.1.p1	2-SGA33918.1	STRG.107178
STRG.55020.1.p4	XM_040694293.2	STRG.55020
STRG.109505.1.p2	XM_040695137.1	STRG.109505
STRG.77348.2.p2	PKU40023.1	STRG.77348
STRG.11336.16.p1	XM_048930419.1	STRG.11336
STRG.57994.10.p2	3-XM_040659592.1	STRG.57994
STRG.49774.1.p1	XM_040679131.1	STRG.49774
STRG.27252.1.p1	SGA33940.1	STRG.27252
STRG.89997.1.p2	PKU26951.1	STRG.89997
STRG.40510.12.p1	KFP84123.1	STRG.40510
STRG.23230.1.p2	AAA49027.1	STRG.23230
STRG.90284.1.p1	XM_052701080.1	STRG.90284
STRG.8027.5.p1	2-XM_052665711.1	STRG.8027
STRG.108009.1.p2	XM_048959965.1	STRG.108009
STRG.37926.1.p3	XM_021382121.1	STRG.37926
STRG.49784.1.p1	EPP28206.1	STRG.49784
STRG.71053.3.p2	XM_040651858.2	STRG.71053
STRG.18132.1.p1	2-AAA49027.1	STRG.18132
STRG.110169.1.p1	3-SGA33918.1	STRG.110169
STRG.89610.1.p1	2-SGA02415.1	STRG.89610
STRG.86576.1.p1	KAK4810743.1	STRG.86576
STRG.59745.1.p2	2-EPP28206.1	STRG.59745
STRG.84565.1.p1	WP_279255902.1	STRG.84565
STRG.111559.1.p1	3-SGA02415.1	STRG.111559
STRG.90977.1.p1	XM_040656654.2	STRG.90977
STRG.90230.3.p1	POI19138.1	STRG.90230
STRG.23693.1.p2	XM_052705648.1	STRG.23693
STRG.59831.1.p2	XM_040681694.2	STRG.59831
STRG.111491.1.p1	MCQ4078419.1	STRG.111491
STRG.18901.1.p1	XM_040695594.2	STRG.18901
STRG.49764.1.p1	XM_010714246.3	STRG.49764
STRG.88038.1.p1	2-MCQ4078419.1	STRG.88038
STRG.71866.1.p1	RLV89018.1	STRG.71866
STRG.89428.1.p1	KAK4810667.1	STRG.89428
STRG.28556.1.p1	XM_046939479.1	STRG.28556
STRG.41408.3.p2	NXC51054.1	STRG.41408
STRG.49061.1.p1	XM_014936784.1	STRG.49061
STRG.84545.1.p1	2-EPP37534.1	STRG.84545
STRG.74111.1.p4	PKU48130.1	STRG.74111
STRG.40070.1.p1	3-MCQ4078419.1	STRG.40070
STRG.66472.4.p1	XM_040680189.1	STRG.66472
STRG.111625.1.p1	2-SGA34061.1	STRG.111625
STRG.84631.1.p2	3-EPP37534.1	STRG.84631
STRG.93685.1.p1	XM_040693620.1	STRG.93685
STRG.34069.3.p1	MCQ4015904.1	STRG.34069
STRG.59735.1.p2	3-EPP28206.1	STRG.59735
STRG.84555.1.p1	4-EPP37534.1	STRG.84555
STRG.81913.1.p1	XM_048947294.1	STRG.81913
STRG.86332.19.p1	XM_046901945.1	STRG.86332
STRG.2138.1.p1	PKU28520.1	STRG.2138
STRG.100935.2.p1	XM_040694064.2	STRG.100935
STRG.79533.1.p1	XM_040647236.2	STRG.79533
STRG.18499.1.p1	2-XM_052705648.1	STRG.18499
STRG.57616.2.p1	KAK4832076.1	STRG.57616
STRG.36362.1.p1	4-MCQ4078419.1	STRG.36362
